CAS No	Chemical Name	IUPAC Name	Hazard Classification
(111-70-6)-I2B41-S(Na)	Heptyl S-sodium isopropylphosphonothiolate	Heptyl S-sodium isopropylphosphonothiolate	
(111-70-6)-M1A3-II	Heptyl S-2-diisopropylaminoethyl methylphosphonothiolate	Heptyl S-2-diisopropylaminoethyl methylphosphonothiolate	
(111-70-6)-M1A3-MM	Heptyl S-2-dimethylaminoethyl methylphosphonothiolate	Heptyl S-2-dimethylaminoethyl methylphosphonothiolate	
(111-70-6)-M1A3-PP	Heptyl S-2-dipropylaminoethyl methylphosphonothiolate	Heptyl S-2-dipropylaminoethyl methylphosphonothiolate	
(111-70-6)-M2B45-(111-70-6)	"O,O-Diheptyl methylphosphonothionate"	"O,O-Diheptyl methylphosphonothionate"	
(111-70-6)-M2B45	O-Heptyl methylphosphonothionate	O-Heptyl methylphosphonothionate	
(111-87-5)-1A2-EE	"Octyl N,N-diethylphosphoramidocyanidate"	"Octyl N,N-diethylphosphoramidocyanidate"	
(111-87-5)-1A2-II	"Octyl N,N-diisopropylphosphoramidocyanidate"	"Octyl N,N-diisopropylphosphoramidocyanidate"	
(111-87-5)-1A2-IP	Octyl N-isopropyl-N-propylphosphoramidocyanidate	Octyl N-isopropyl-N-propylphosphoramidocyanidate	
(111-87-5)-1A2-MM	"Octyl N,N-dimethylphosphoramidocyanidate"	"Octyl N,N-dimethylphosphoramidocyanidate"	
(111-87-5)-1A2-MP	Octyl N-methyl-N-propylphosphoramidocyanidate	Octyl N-methyl-N-propylphosphoramidocyanidate	
(111-87-5)-1A2-PP	"Octyl N,N-dipropylphosphoramidocyanidate"	"Octyl N,N-dipropylphosphoramidocyanidate"	
(111-87-5)-E1A3-II	Octyl S-2-diisopropylaminoethyl ethylphosphonothiolate	Octyl S-2-diisopropylaminoethyl ethylphosphonothiolate	
(111-87-5)-E1A3-MM	Octyl S-2-dimethylaminoethyl ethylphosphonothiolate	Octyl S-2-dimethylaminoethyl ethylphosphonothiolate	
(111-87-5)-E1A3-PP	Octyl S-2-dipropylaminoethyl ethylphosphonothiolate	Octyl S-2-dipropylaminoethyl ethylphosphonothiolate	
(111-87-5)-E2B41	Octyl ethylphosphonate	Octyl ethylphosphonate	
(111-87-5)-M1A3-EE	Octyl S-2-diethylaminoethyl methylphosphonothiolate	Octyl S-2-diethylaminoethyl methylphosphonothiolate	
(111-87-5)-M1A3-II	Octyl S-2-diisopropylaminoethyl methylphosphonothiolate	Octyl S-2-diisopropylaminoethyl methylphosphonothiolate	
(111-87-5)-M1A3-MM	Octyl S-2-dimethylaminoethyl methylphosphonothiolate	Octyl S-2-dimethylaminoethyl methylphosphonothiolate	
(111-87-5)-M1A3-PP	Octyl S-2-dipropylaminoethyl methylphosphonothiolate	Octyl S-2-dipropylaminoethyl methylphosphonothiolate	
(111-87-5)-M2B45-(111-87-5)	"O,O-Dioctyl methylphosphonothionate"	"O,O-Dioctyl methylphosphonothionate"	
(111-87-5)-M2B45	O-Octyl methylphosphonothionate	O-Octyl methylphosphonothionate	
(111-87-5)-P2B41-S(Na)	Octyl S-sodium propylphosphonothiolate	Octyl S-sodium propylphosphonothiolate	
(112-30-1)-1A2-II	"Decyl N,N-diisopropylphosphoramidocyanidate"	"Decyl N,N-diisopropylphosphoramidocyanidate"	
(112-30-1)-1A2-IP	Decyl N-isopropyl-N-propylphosphoramidocyanidate	Decyl N-isopropyl-N-propylphosphoramidocyanidate	
(112-30-1)-1A2-MM	"Decyl N,N-dimethylphosphoramidocyanidate"	"Decyl N,N-dimethylphosphoramidocyanidate"	
(112-30-1)-1A2-MP	Decyl N-methyl-N-propylphosphoramidocyanidate	Decyl N-methyl-N-propylphosphoramidocyanidate	
(112-30-1)-E1A3-II	Decyl S-2-diisopropylaminoethyl ethylphosphonothiolate	Decyl S-2-diisopropylaminoethyl ethylphosphonothiolate	
(112-30-1)-E1A3-MM	Decyl S-2-dimethylaminoethyl ethylphosphonothiolate	Decyl S-2-dimethylaminoethyl ethylphosphonothiolate	
(112-30-1)-E1A3-PP	Decyl S-2-dipropylaminoethyl ethylphosphonothiolate	Decyl S-2-dipropylaminoethyl ethylphosphonothiolate	
(112-30-1)-M1A3-II	Decyl S-2-diisopropylaminoethyl methylphosphonothiolate	Decyl S-2-diisopropylaminoethyl methylphosphonothiolate	
(112-30-1)-M1A3-MM	Decyl S-2-dimethylaminoethyl methylphosphonothiolate	Decyl S-2-dimethylaminoethyl methylphosphonothiolate	
(112-30-1)-M1A3-PP	Decyl S-2-dipropylaminoethyl methylphosphonothiolate	Decyl S-2-dipropylaminoethyl methylphosphonothiolate	
(112-30-1)-M2B41-S(Na)	Decyl S-sodium methylphosphonothiolate	Decyl S-sodium methylphosphonothiolate	
(112-30-1)-M2B45-O(Na)	O-Decyl-O-sodium methylphosphonothionate	O-Decyl-O-sodium methylphosphonothionate	
(1120-06-2)-M2B41-(1120-06-2)	Bis(1-methylnonyl) methylphosphonate	Bis(1-methylnonyl) methylphosphonate	
(1120-06-2)-M2B41	1-Methylnonyl methylphosphonate	1-Methylnonyl methylphosphonate	
(1120-06-5)-E1A1	1-Methylnonyl ethylphosphonofluoridate	1-Methylnonyl ethylphosphonofluoridate	
(1120-06-5)-I1A1	1-Methylnonyl isopropylphosphonofluoridate	1-Methylnonyl isopropylphosphonofluoridate	
(1120-06-5)-P1A1	1-Methylnonyl propylphosphonofluoridate	1-Methylnonyl propylphosphonofluoridate	
(1124-63-6)-E1A1	3-Cyclohexylpropyl ethylphosphonofluoridate	3-Cyclohexylpropyl ethylphosphonofluoridate	
(1124-63-6)-I1A1	3-Cyclohexylpropyl isopropylphosphonofluoridate	3-Cyclohexylpropyl isopropylphosphonofluoridate	
(1124-63-6)-P1A1	3-Cyclohexylpropyl propylphosphonofluoridate	3-Cyclohexylpropyl propylphosphonofluoridate	
(1193-81-3)-1A2-II	"1-Cyclohexylethyl N,N-diisopropylphosphoramidocyanidate"	"1-Cyclohexylethyl N,N-diisopropylphosphoramidocyanidate"	
(1193-81-3)-E1A1	1-Cyclohexylethyl ethylphosphonofluoridate	1-Cyclohexylethyl ethylphosphonofluoridate	
(1193-81-3)-I1A1	1-Cyclohexylethyl isopropylphosphonofluoridate	1-Cyclohexylethyl isopropylphosphonofluoridate	
(1193-81-3)-M1A1	1-Cyclohexylethyl methylphosphonofluoridate	1-Cyclohexylethyl methylphosphonofluoridate	
(1193-81-3)-P1A1	1-Cyclohexylethyl propylphosphonofluoridate	1-Cyclohexylethyl propylphosphonofluoridate	
(123-51-3)-E1A3-II	3-Methylbutyl S-2-diisopropylaminoethyl ethylphosphonothiolate	3-Methylbutyl S-2-diisopropylaminoethyl ethylphosphonothiolate	
(123-51-3)-E1A3-MM	3-Methylbutyl S-2-dimethylaminoethyl ethylphosphonothiolate	3-Methylbutyl S-2-dimethylaminoethyl ethylphosphonothiolate	
(123-51-3)-E1A3-PP	3-Methylbutyl S-2-dipropylaminoethyl ethylphosphonothiolate	3-Methylbutyl S-2-dipropylaminoethyl ethylphosphonothiolate	
(123-51-3)-M1A3-II	3-Methylbutyl S-2-diisopropylaminoethyl methylphosphonothiolate	3-Methylbutyl S-2-diisopropylaminoethyl methylphosphonothiolate	
(123-51-3)-M1A3-MM	3-Methylbutyl S-2-dimethylaminoethyl methylphosphonothiolate	3-Methylbutyl S-2-dimethylaminoethyl methylphosphonothiolate	
(123-51-3)-M1A3-PP	3-Methylbutyl S-2-dipropylaminoethyl methylphosphonothiolate	3-Methylbutyl S-2-dipropylaminoethyl methylphosphonothiolate	
(123-96-6)-1A2-II	"1-Methylheptyl N,N-diisopropylphosphoramidocyanidate"	"1-Methylheptyl N,N-diisopropylphosphoramidocyanidate"	
(13491-79-7)-I1A3-II	2-tert-Butylcyclohexyl S-2-diisopropylaminoethyl isopropylphosphonothiolate	2-tert-Butylcyclohexyl S-2-diisopropylaminoethyl isopropylphosphonothiolate	
(13491-79-7)-I2B41-S(Na)	2-tert-Butylcyclohexyl S-sodium isopropylphosphonothiolate	2-tert-Butylcyclohexyl S-sodium isopropylphosphonothiolate	
(13491-79-7)-P1A3-II	2-tert-Butylcyclohexyl S-2-diisopropylaminoethyl propylphosphonothiolate	2-tert-Butylcyclohexyl S-2-diisopropylaminoethyl propylphosphonothiolate	
(13491-79-7)-P2B41-S(Na)	2-tert-Butylcyclohexyl S-sodium propylphosphonothiolate	2-tert-Butylcyclohexyl S-sodium propylphosphonothiolate	
(137-32-6)-E1A3-EE	2-Methylbutyl S-2-diethylaminoethyl ethylphosphonothiolate	2-Methylbutyl S-2-diethylaminoethyl ethylphosphonothiolate	
(137-32-6)-E1A3-II	2-Methylbutyl S-2-diisopropylaminoethyl ethylphosphonothiolate	2-Methylbutyl S-2-diisopropylaminoethyl ethylphosphonothiolate	
(137-32-6)-E1A3-MM	2-Methylbutyl S-2-dimethylaminoethyl ethylphosphonothiolate	2-Methylbutyl S-2-dimethylaminoethyl ethylphosphonothiolate	
(137-32-6)-E1A3-PP	2-Methylbutyl S-2-dipropylaminoethyl ethylphosphonothiolate	2-Methylbutyl S-2-dipropylaminoethyl ethylphosphonothiolate	
(137-32-6)-M1A1(S)	(S)-2-Methylbutyl methylphosphonofluoridate	(S)-2-Methylbutyl methylphosphonofluoridate	
(137-32-6)-M1A3-EE	2-Methylbutyl S-2-diethylaminoethyl methylphosphonothiolate	2-Methylbutyl S-2-diethylaminoethyl methylphosphonothiolate	
(137-32-6)-M1A3-II	2-Methylbutyl S-2-diisopropylaminoethyl methylphosphonothiolate	2-Methylbutyl S-2-diisopropylaminoethyl methylphosphonothiolate	
(137-32-6)-M1A3-MM	2-Methylbutyl S-2-dimethylaminoethyl methylphosphonothiolate	2-Methylbutyl S-2-dimethylaminoethyl methylphosphonothiolate	
(137-32-6)-M1A3-PP	2-Methylbutyl S-2-dipropylaminoethyl methylphosphonothiolate	2-Methylbutyl S-2-dipropylaminoethyl methylphosphonothiolate	
(143-08-8)-1A2-MM	"Nonyl N,N-dimethylphosphoramidocyanidate"	"Nonyl N,N-dimethylphosphoramidocyanidate"	
(143-08-8)-1A2-MP	Nonyl N-methyl-N-propylphosphoramidocyanidate	Nonyl N-methyl-N-propylphosphoramidocyanidate	
(143-08-8)-E1A3-II	Nonyl S-2-diisopropylaminoethyl ethylphosphonothiolate	Nonyl S-2-diisopropylaminoethyl ethylphosphonothiolate	
(143-08-8)-E1A3-MM	Nonyl S-2-dimethylaminoethyl ethylphosphonothiolate	Nonyl S-2-dimethylaminoethyl ethylphosphonothiolate	
(143-08-8)-E1A3-PP	Nonyl S-2-dipropylaminoethyl ethylphosphonothiolate	Nonyl S-2-dipropylaminoethyl ethylphosphonothiolate	
(143-08-8)-M1A3-EE	Nonyl S-2-diethylaminoethyl methylphosphonothiolate	Nonyl S-2-diethylaminoethyl methylphosphonothiolate	
(143-08-8)-M1A3-II	Nonyl S-2-diisopropylaminoethyl methylphosphonothiolate	Nonyl S-2-diisopropylaminoethyl methylphosphonothiolate	
(143-08-8)-M1A3-MM	Nonyl S-2-dimethylaminoethyl methylphosphonothiolate	Nonyl S-2-dimethylaminoethyl methylphosphonothiolate	
(143-08-8)-M1A3-PP	Nonyl S-2-dipropylaminoethyl methylphosphonothiolate	Nonyl S-2-dipropylaminoethyl methylphosphonothiolate	
(14979-39-6)-E1A1	1-Ethyl-2-methylpentyl ethylphosphonofluoridate	1-Ethyl-2-methylpentyl ethylphosphonofluoridate	
(14979-39-6)-I1A1	1-Ethyl-2-methylpentyl isopropylphosphonofluoridate	1-Ethyl-2-methylpentyl isopropylphosphonofluoridate	
(14979-39-6)-P1A1	1-Ethyl-2-methylpentyl propylphosphonofluoridate	1-Ethyl-2-methylpentyl propylphosphonofluoridate	
(1502-24-5)-E1A1	"2,3-Dimethylcyclohexyl ethylphosphonofluoridate"	"2,3-Dimethylcyclohexyl ethylphosphonofluoridate"	
(1502-24-5)-I1A1	"2,3-Dimethylcyclohexyl isopropylphosphonofluoridate"	"2,3-Dimethylcyclohexyl isopropylphosphonofluoridate"	
(1502-24-5)-M1A1	"2,3-Dimethylcyclohexyl methylphosphonofluoridate"	"2,3-Dimethylcyclohexyl methylphosphonofluoridate"	
(1502-24-5)-P1A1	"2,3-Dimethylcyclohexyl propylphosphonofluoridate"	"2,3-Dimethylcyclohexyl propylphosphonofluoridate"	
(1516-08-1)-1A2-MM	"Ethyl-d5 N,N-dimethylphosphoramidocyanidate"	"Ethyl-d5 N,N-dimethylphosphoramidocyanidate"	
(1516-08-1)-M1A1	Ethyl-d5 methylphosphonofluoridate	Ethyl-d5 methylphosphonofluoridate	
(1516-08-1)-M1A3-II	Ethyl-d5 S-2-diisopropylaminoethyl methylphosphonothiolate	Ethyl-d5 S-2-diisopropylaminoethyl methylphosphonothiolate	
(16325-63-6)-M2B41-(16325-63-6)	"Bis(2,4,4-Trimethylpentyl) methylphosphonate"	"Bis(2,4,4-Trimethylpentyl) methylphosphonate"	
(18729-48-1)-E1A1	3-Methylcyclopentyl ethylphosphonofluoridate	3-Methylcyclopentyl ethylphosphonofluoridate	
(18729-48-1)-I1A1	3-Methylcyclopentyl isopropylphosphonofluoridate	3-Methylcyclopentyl isopropylphosphonofluoridate	
(18729-48-1)-M1A1	3-Methylcyclopentyl methylphosphonofluoridate	3-Methylcyclopentyl methylphosphonofluoridate	
(20296-29-1)-1A2-EE	"1-Ethylhexyl N,N-diethylphosphoramidocyanidate"	"1-Ethylhexyl N,N-diethylphosphoramidocyanidate"	
(20296-29-1)-1A2-II	"1-Ethylhexyl N,N-diisopropylphosphoramidocyanidate"	"1-Ethylhexyl N,N-diisopropylphosphoramidocyanidate"	
(20296-29-1)-1A2-IP	1-Ethylhexyl N-isopropyl-N-propylphosphoramidocyanidate	1-Ethylhexyl N-isopropyl-N-propylphosphoramidocyanidate	
(20296-29-1)-1A2-MM	"1-Ethylhexyl N,N-dimethylphosphoramidocyanidate"	"1-Ethylhexyl N,N-dimethylphosphoramidocyanidate"	
(20296-29-1)-1A2-PP	"1-Ethylhexyl N,N-dipropylphosphoramidocyanidate"	"1-Ethylhexyl N,N-dipropylphosphoramidocyanidate"	
(20296-29-1)-E1A1	1-Ethylhexyl ethylphosphonofluoridate	1-Ethylhexyl ethylphosphonofluoridate	
(20296-29-1)-M1A1	1-Ethylhexyl methylphosphonofluoridate	1-Ethylhexyl methylphosphonofluoridate	
(22739-76-0)-M1A1	Isopropyl-d7 methylphosphonofluoridate	Isopropyl-d7 methylphosphonofluoridate	
(24070-77-7)-E1A3-EE	2-Methylcyclopentyl S-2-diethylaminoethyl ethylphosphonothiolate	2-Methylcyclopentyl S-2-diethylaminoethyl ethylphosphonothiolate	
(24070-77-7)-E1A3-II	2-Methylcyclopentyl S-2-diisopropylaminoethyl ethylphosphonothiolate	2-Methylcyclopentyl S-2-diisopropylaminoethyl ethylphosphonothiolate	
(24070-77-7)-E1A3-MM	2-Methylcyclopentyl S-2-dimethylaminoethyl ethylphosphonothiolate	2-Methylcyclopentyl S-2-dimethylaminoethyl ethylphosphonothiolate	
(24070-77-7)-E1A3-PP	2-Methylcyclopentyl S-2-dipropylaminoethyl ethylphosphonothiolate	2-Methylcyclopentyl S-2-dipropylaminoethyl ethylphosphonothiolate	
(24070-77-7)-M1A1	2-Methylcyclopentyl methylphosphonofluoridate	2-Methylcyclopentyl methylphosphonofluoridate	
(24070-77-7)-M1A3-EE	2-Methylcyclopentyl S-2-diethylaminoethyl methylphosphonothiolate	2-Methylcyclopentyl S-2-diethylaminoethyl methylphosphonothiolate	
(24070-77-7)-M1A3-II	2-Methylcyclopentyl S-2-diisopropylaminoethyl methylphosphonothiolate	2-Methylcyclopentyl S-2-diisopropylaminoethyl methylphosphonothiolate	
(24070-77-7)-M1A3-MM	2-Methylcyclopentyl S-2-dimethylaminoethyl methylphosphonothiolate	2-Methylcyclopentyl S-2-dimethylaminoethyl methylphosphonothiolate	
(24070-77-7)-M1A3-PP	2-Methylcyclopentyl S-2-dipropylaminoethyl methylphosphonothiolate	2-Methylcyclopentyl S-2-dipropylaminoethyl methylphosphonothiolate	
(2516-33-8)-I1A1	Cyclopropylmethyl isopropylphosphonofluoridate	Cyclopropylmethyl isopropylphosphonofluoridate	
(28929-86-4)-M1A1	"1,1-Dimethylpentyl methylphosphonofluoridate"	"1,1-Dimethylpentyl methylphosphonofluoridate"	
(3452-97-9)-I1A1	"3,5,5-Trimethylhexyl isopropylphosphonofluoridate"	"3,5,5-Trimethylhexyl isopropylphosphonofluoridate"	
(3452-97-9)-P1A1	"3,5,5-Trimethylhexyl propylphosphonofluoridate"	"3,5,5-Trimethylhexyl propylphosphonofluoridate"	
(3452-97-9)-P2B41-S(Na)	"3,5,5-Trimethylhexyl S-sodium propylphosphonothiolate"	"3,5,5-Trimethylhexyl S-sodium propylphosphonothiolate"	
(3637-61-4)-E1A1	Cyclopentylmethyl ethylphosphonofluoridate	Cyclopentylmethyl ethylphosphonofluoridate	
(3637-61-4)-I1A1	Cyclopentylmethyl isopropylphosphonofluoridate	Cyclopentylmethyl isopropylphosphonofluoridate	
(3637-61-4)-M1A1	Cyclopentylmethyl methylphosphonofluoridate	Cyclopentylmethyl methylphosphonofluoridate	
(3637-61-4)-P1A1	Cyclopentylmethyl propylphosphonofluoridate	Cyclopentylmethyl propylphosphonofluoridate	
(3760-20-1)-E1A1	2-Ethylcyclohexyl ethylphosphonofluoridate	2-Ethylcyclohexyl ethylphosphonofluoridate	
(3760-20-1)-I1A1	2-Ethylcyclohexyl isopropylphosphonofluoridate	2-Ethylcyclohexyl isopropylphosphonofluoridate	
(3760-20-1)-P1A1	2-Ethylcyclohexyl propylphosphonofluoridate	2-Ethylcyclohexyl propylphosphonofluoridate	
(3809-32-3)-M1A1	"2,5-Dimethylcyclohexyl methylphosphonofluoridate"	"2,5-Dimethylcyclohexyl methylphosphonofluoridate"	
"(40334-69-8)-[1,2-14C]"	"Bis(2-chlorovinyl-[1,2-14C])chloroarsine"	"Bis(2-chlorovinyl-[1,2-14C])chloroarsine"	
"(40334-70-1)-[1,2-14C]"	"Tris(2-chlorovinyl-[1,2-14C])arsine"	"Tris(2-chlorovinyl-[1,2-14C])arsine"	
(4441-57-0)-M1A1	4-Cyclohexylbutyl methylphosphonofluoridate	4-Cyclohexylbutyl methylphosphonofluoridate	
(4442-79-9)-1A2-EE	"2-Cyclohexylethyl N,N-diethylphosphoramidocyanidate"	"2-Cyclohexylethyl N,N-diethylphosphoramidocyanidate"	
(4442-79-9)-I1A1	2-Cyclohexylethyl isopropylphosphonofluoridate	2-Cyclohexylethyl isopropylphosphonofluoridate	
(464-07-3)-1A2-EE	"Pinacolyl N,N-diethylphosphoramidocyanidate"	"Pinacolyl N,N-diethylphosphoramidocyanidate"	
(464-07-3)-1A2-II	"Pinacolyl N,N-diisopropylphosphoramidocyanidate"	"Pinacolyl N,N-diisopropylphosphoramidocyanidate"	
(464-07-3)-1A2-IP	Pinacolyl N-isopropyl-N-propylphosphoramidocyanidate	Pinacolyl N-isopropyl-N-propylphosphoramidocyanidate	
(464-07-3)-1A2-MM	"Pinacolyl N,N-dimethylphosphoramidocyanidate"	"Pinacolyl N,N-dimethylphosphoramidocyanidate"	
(464-07-3)-1A2-PP	"Pinacolyl N,N-dipropylphosphoramidocyanidate"	"Pinacolyl N,N-dipropylphosphoramidocyanidate"	
(464-07-3)-E1A3-EE	Pinacolyl S-2-diethylaminoethyl ethylphosphonothiolate	Pinacolyl S-2-diethylaminoethyl ethylphosphonothiolate	
(464-07-3)-E1A3-II	Pinacolyl S-2-diisopropylaminoethyl ethylphosphonothiolate	Pinacolyl S-2-diisopropylaminoethyl ethylphosphonothiolate	
(464-07-3)-E1A3-MM	Pinacolyl S-2-dimethylaminoethyl ethylphosphonothiolate	Pinacolyl S-2-dimethylaminoethyl ethylphosphonothiolate	
(464-07-3)-E1A3-PP	Pinacolyl S-2-dipropylaminoethyl ethylphosphonothiolate	Pinacolyl S-2-dipropylaminoethyl ethylphosphonothiolate	
(464-07-3)-E2B41-S(Na)	Pinacolyl S-sodium ethylphosphonothiolate	Pinacolyl S-sodium ethylphosphonothiolate	
(464-07-3)-I2B41-(464-07-3)	Dipinacolyl isopropylphosphonate	Dipinacolyl isopropylphosphonate	
(464-07-3)-M1A1-C(-)	Pinacolyl methylphosphonofluoridate(-)	Pinacolyl methylphosphonofluoridate(-)	
(464-07-3)-M1A1[14C]	Pinacolyl methyl-[14C]-phosphonofluoridate	Pinacolyl methyl-[14C]-phosphonofluoridate	
(464-07-3)-M1A1	Pinacolyl-dx-methylphosphonofluoridate	Pinacolyl-dx-methylphosphonofluoridate	
(464-07-3)-M1A3-PP	Pinacolyl S-2-dipropylaminoethyl methylphosphonothiolate	Pinacolyl S-2-dipropylaminoethyl methylphosphonothiolate	
(464-07-3)-M2B41-N(65-56-1)(107-21-1)	Pinacolyl N-methyl-N-(2-hydroxyethyl) methylphosphonoamidate	Pinacolyl N-methyl-N-(2-hydroxyethyl) methylphosphonoamidate	
