No.	CHRIP_ID	CAS RN	CAS Identity	Chemical Substance Name
66	C007-298-99A	109-58-0		(2-aminoethyl)carbamic acid
67	C004-789-82A	109-74-0		Butanenitrile
68	C004-752-89A	109-78-4		3-Hydroxypropanenitrile
69	C005-187-45A	109-90-0		Ethyl isocyanate
70	C005-810-48A	110-59-8		Valeronitrile
71	C006-361-28A	110-72-5		N-Ethylethylenediamine
72	C006-361-51A	110-99-6		Oxydi(acetic acid)
73	C006-361-73A	111-16-0		Pimelic acid
74	C006-361-84A	111-24-0		"1,5-Dibromopentane"
75	C007-350-40A	111-63-7		Vinyl stearate
76	C005-493-20A	112-72-1		Tetradecan-1-ol
77	C005-303-85A	112-73-2		1-[2-(2-Butoxyethoxy)ethoxy]butane
78	C006-677-03A	112-77-6		Oleoyl chloride
79	C004-803-80A	112-92-5		Octadecan-1-ol
80	C004-824-22A	115-19-5		"3-Butyn-2-ol, 2-methyl-"
81	C007-288-74A	115-87-7		Bis(4-tert-butylphenyl) phenyl phosphate
82	C006-055-09A	116-09-6		Hydroxyacetone
83	C007-472-66A	116-31-4		Retinaldehyde
84	C006-214-70A	117-96-4		"3,5-Diacetamido-2,4,6-triiodobenzoic acid"
85	C005-493-75A	119-12-0		"O,O-diethyl O-(1,6-dihydro-6-oxo-1-phenylpyridazin-3-yl) thiophosphate"
86	C007-230-95A	119-76-6		"N,N'-(4-Nitro-1,3-phenylene)diacetamide"
87	C006-131-76A	120-46-7		"1,3-Diphenylpropane-1,3-dione"
88	C007-388-56A	120-94-5		1-methylpyrrolidine
89	C007-330-22A	122-07-6		"2,2-dimethoxyethylmethylamine"
90	C005-196-24A	123-20-6		Vinyl butyrate
91	C007-210-55A	123-46-6		(hydrazinocarbonylmethyl)trimethylammonium chloride
92	C006-370-41A	131-48-6		"(4S,5R,6R,7S,8R)-5-Acetamido-4,6,7,8,9-pentahydroxy-2-oxononanoic acid"
93	C007-316-06A	133-91-5		"2-Hydroxy-3,5-diiodobenzoic acid"
94	C006-372-23A	137-43-9		Bromocyclopentane
95	C005-043-63A	138-59-0		"(3R,4S,5R)-3,4,5-trihydroxycyclohex-1-enecarboxylic acid"
96	C005-178-22A	142-29-0		Cyclopentene
97	C007-317-86A	142-45-0		Butynedioic acid
98	C005-497-17A	142-68-7		Oxane
99	C005-183-03A	142-84-7		Dipropylamine
100	C007-464-45A	143-16-8		Dihexylamine
101	C006-185-91A	149-32-6		Erythritol
102	C005-818-11A	149-45-1		"Disodium 4,5-dihydroxybenzene-1,3-disulfonate"
103	C007-371-82A	149-46-2		"4,5-dihydroxybenzene-1,3-disulphonic acid"
104	C007-431-17A	153-98-0		3-(2-Aminoethyl)-indol-5-ol hydrochloride
105	C007-357-33A	156-83-2		"4-chloro-2,6-diaminopyrimidine"
106	C005-464-45A	274-09-9		"1,2-Methylenedioxybenzene"
107	C004-693-45A	287-92-3		Cyclopentane
108	C006-386-02A	288-13-1		Pyrazole
109	C004-722-02A	288-88-0		s-Triazole
110	C006-063-86A	299-27-4		Potassium gluconate
111	C007-327-23A	306-91-2		"Phenanthrene, 1,1,2,2,3,3,4,4,4a,4b,5,5,6,6,7,7,8,8,8a,9,9,10,10,10a-tetracosafluorotetradecahydro-"
112	C007-327-34A	307-08-4		Docosafluorododecahydrofluorene
113	C006-386-91A	312-94-7		2-(Trifluoromethyl)benzoyl chloride
114	C005-411-22A	320-60-5		"2,4-Dichloro-1-(triflouromethyl)-benzene"
115	C005-411-00A	328-84-7		"1,2-Dichloro-4-(trifluoromethyl)benzene"
116	C005-818-88A	335-42-2		"Butanoyl fluoride, heptafluoro-"
117	C007-447-34A	338-76-1		Methyl 2-fluoro-2-methylpropanoate
118	C007-416-77A	338-83-0		Perfluamine
119	C007-281-92A	338-84-1		Tris(undecafluoropentyl)amine
120	C004-988-66A	354-33-6		"Ethane, pentafluoro-"
121	C007-387-54A	354-38-1		"2,2,2-Trifluoroacetamide"
122	C007-429-09A	355-25-9		Decafluorobutane
123	C007-424-54A	355-37-3		"Trideca-1,1,1,2,2,3,3,4,4,5,5,6,6-fluorohexane"
124	C006-388-73A	358-23-6		Trifluoromethanesulphonic anhydride
125	C007-402-76A	359-11-5		Trifluoroethylene
126	C006-389-19A	367-21-5		3-chloro-4-fluoroaniline
127	C007-332-26A	370-50-3		"1,3-Bis[4-chloro-3-(trifluoromethyl)phenyl]urea"
128	C006-389-64A	371-41-5		4-fluorophenol
129	C006-064-88A	373-44-4		Octamethylenediamine
130	C007-350-51A	375-16-6		Heptafluorobutyryl chloride
131	C007-289-54A	382-10-5		"3,3,3-Trifluoro-2-(trifluoromethyl)prop-1-ene"
132	C007-354-04A	382-26-3		"Propane, 2-(difluoromethoxymethyl)-1,1,1,3,3,3-hexafluoro-"
133	C007-466-83A	382-34-3		"1,1,1,2,3,3-Hexafluoro-3-methoxypropane"
134	C006-390-36A	383-63-1		Ethyl trifluoroacetate
135	C006-391-61A	403-43-0		4-fluorobenzoyl chloride
136	C007-515-35A	406-58-6		"1,1,1,3,3-Pentafluorobutane"
137	C005-380-94A	406-78-0		"Ethane, 1,1,2,2-tetrafluoro-1-(2,2,2-trifluoroethoxy)-"
138	C005-177-19A	420-46-2		"Ethane, 1,1,1-trifluoro-"
139	C006-392-18A	422-05-9		"2,2,3,3,3-pentafluoropropanol"
140	C005-558-00A	422-56-0		"3,3-Dichloro-1,1,1,2,2-pentafluoropropane"
141	C007-465-03A	423-31-4		"1-Chloro-1,1,2,2,3,3,4,4-octafluorobutane"
142	C007-466-72A	425-88-7		"1,1,2,2-tetrafluoro-1-methoxyethane"
143	C005-305-78A	428-59-1		"Oxirane, trifluoro(trifluoromethyl)-"
144	C006-678-27A	430-57-9		"1,2-Dichloro-1-fluoroethane"
145	C005-244-63A	431-89-0		"Propane, 1,1,1,2,3,3,3-heptafluoro-"
146	C007-329-72A	432-08-6		"1-Hexanamine, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-N,N-bis(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)-"
147	C006-392-30A	433-19-2		"1,4-bis(trifluoromethyl)benzene"
148	C007-497-84A	437-81-0		"2,6-Difluorobenzamide"
149	C006-393-10A	447-61-0		2-(Trifluoromethyl)benzaldehyde
150	C006-393-21A	451-40-1		Deoxybenzoin
151	C007-519-00A	454-77-3		"1-p-Menthene-6,8-diol"
152	C005-417-13A	455-19-6		"alpha,alpha,alpha-Trifluoro-p-tolualdehyde"
153	C005-499-77A	459-57-4		4-Fluorobenzaldehyde
154	C005-819-68A	460-73-1		"1,1,1,3,3-Pentafluoropropane"
155	C005-385-83A	462-94-2		"Pentane-1,5-diamine"
156	C007-236-19A	471-46-5		Oxamide
157	C007-231-42A	479-47-0		"1,2,3,5-Benzenetetracarboxylic acid"
158	C007-459-97A	480-63-7		"2,4,6-trimethylbenzoic acid"
159	C006-281-31A	486-25-9		Fluoren-9-one
160	C007-211-24A	487-68-3		"2,4,6-trimethylbenzaldehyde"
161	C007-206-21A	490-64-2		"2,4,5-Trimethoxybenzoic acid"
162	C007-362-03A	497-04-1		"2-chloropropane-1,3-diol"
163	C005-389-25A	497-18-7		Carbonohydrazide
164	C006-395-70A	498-23-7		Citraconic acid
165	C006-395-81A	498-66-8		"8,9,10-trinorborn-2-ene"
166	C007-328-70A	498-71-5		"5-hydroxy-alpha,alpha,4-trimethylcyclohex-3-ene-1-methanol"
167	C007-413-82A	499-06-9		"3,5-dimethylbenzoic acid"
168	C006-066-59A	500-22-1		Nicotinaldehyde
169	C006-066-71A	501-94-0		4-(2-Hydroxyethyl)phenol
170	C005-410-20A	501-97-3		3-(4-Hydroxyphenyl)-propionic acid
171	C007-469-12A	502-97-6		"1,4-dioxane-2,5-dione"
172	C005-159-17A	503-17-3		But-2-yne
173	C008-133-47A	503-40-2		Methanedisulfonic acid
174	C006-396-38A	503-60-6		1-chloro-3-methylbut-2-ene
175	C004-761-68A	504-20-1		"2,6-Dimethylhepta-2,5-dien-4-one"
176	C007-367-92A	505-48-6		Suberic acid
177	C007-219-97A	505-54-4		Hexadecanedioic acid
178	C005-558-11A	507-55-1		"1,3-Dichloro-1,1,2,2,3-pentafluoropropane"
179	C007-207-90A	512-42-5		Sodium methyl sulphate
180	C005-190-99A	513-42-8		2-methylprop-2-en-1-ol
181	C005-821-21A	515-40-2		"Benzene, (2-chloro-1,1-dimethylethyl)-"
182	C007-160-56A	515-98-0		Ammonium lactate
183	C006-397-63A	524-38-9		N-hydroxyphthalimide
184	C007-281-47A	526-55-6		beta-indol-3-ylethanol
185	C007-488-27A	526-99-8		Galactaric acid
186	C007-352-11A	530-57-4		"4-hydroxy-3,5-dimethoxybenzoic acid"
187	C006-398-65A	530-62-1		"1,1'-carbonylbis-1H-imidazole"
188	C005-451-46A	533-31-3		Sesamol
189	C007-362-58A	533-67-5		2-Deoxy-D-ribose
190	C006-398-98A	534-03-2		"2-aminopropane-1,3-diol"
191	C007-281-14A	534-13-4		"1,3-Dimethylthiourea"
192	C005-501-12A	534-22-5		2-methylfuran
193	C005-197-82A	535-13-7		Ethyl 2-chloropropionate
194	C005-501-23A	535-87-5		"3,5-Diaminobenzoic acid"
195	C007-378-08A	537-47-3		4-phenylsemicarbazide
196	C007-328-81A	537-92-8		N-(m-Tolyl)acetamide
197	C005-418-15A	537-98-4		Ferulic acid
198	C007-391-99A	538-64-7		Dibenzyl fumarate
199	C005-220-47A	540-82-9		Ethyl hydrogen sulfate
200	C007-377-40A	541-88-8		Chloroacetic anhydride
201	C006-188-20A	541-91-3		3-Methylcyclopentadecanone
202	C006-068-64A	542-28-9		Oxan-2-one
203	C007-391-77A	542-52-9		Dibutyl carbonate
204	C006-402-15A	553-54-8		Lithium benzoate
205	C007-434-46A	553-86-6		(3H)-benzofuran-2-one
206	C007-438-00A	557-24-4		Maleamic acid
207	C006-404-31A	570-22-9		"1H-Imidazole-4,5-dicarboxylic acid"
208	C007-400-94A	582-24-1		2-hydroxy-1-phenylethan-1-one
209	C006-405-77A	583-70-0		"1-Bromo-2,4-dimethylbenzene"
210	C017-786-98A	590-54-5		Acetic phosphoric anhydride
211	C006-071-07A	590-90-9		4-hydroxybutan-2-one
212	C005-503-50A	590-92-1		3-Bromopropanoic acid
213	C007-412-46A	592-42-7		"Hexa-1,5-diene"
214	C007-386-30A	593-77-1		N-Methylhydroxylamine
215	C006-413-65A	594-44-5		Ethanesulphonyl chloride
216	C007-246-67A	598-32-3		But-3-en-2-ol
217	C006-413-87A	598-50-5		Methylurea
218	C005-504-07A	598-56-1		"Ethylamine, N,N-dimethyl-"
219	C006-409-64A	598-94-7		"1,1-dimethylurea"
220	C006-409-97A	602-94-8		Pentafluorobenzoic acid
221	C005-444-49A	603-48-5		Leuco Crystal Violet
222	C007-436-62A	603-80-5		3-Hydroxy-2-methylbenzoic acid
223	C006-410-36A	605-70-9		"Naphthalene-1,4-dicarboxylic acid"
224	C007-226-05A	608-42-4		"2-Butenedioic acid, 2,3-dichloro-, (2Z)-"
225	C004-940-80A	609-93-8		"2,6-dinitro-p-cresol"
226	C007-271-11A	610-27-5		4-nitrophthalic acid
227	C007-302-94A	611-01-8		"2,4-dimethylbenzoic acid"
228	C005-442-78A	611-79-0		"3,3'-Diaminobenzophenone"
229	C005-824-38A	612-00-0		"Benzene, 1,1'-ethylidenebis-"
230	C005-447-12A	613-42-3		"4-Benzyl[1,1'-biphenyl]"
231	C006-071-96A	613-62-7		"Naphthalene, 2-(phenylmethoxy)-"
232	C006-072-09A	614-18-6		Ethyl nicotinate
233	C006-415-81A	616-02-4		2-Methylmaleic anhydride
234	C007-510-68A	616-03-5		5-Methylhydantoin
235	C007-363-83A	616-04-6		"1-Methylimidazolidine-2,4-dione"
236	C006-415-92A	616-05-7		2-bromohexanoic acid
237	C006-133-36A	616-30-8		"3-Aminopropane-1,2-diol"
238	C006-416-16A	616-47-7		1-methylimidazole
239	C007-268-34A	617-22-1		"1,2-Di-o-tolylhydrazine"
240	C006-416-83A	618-83-7		5-hydroxyisophthalic acid
241	C006-417-29A	619-64-7		4-ethylbenzoic acid
242	C006-281-75A	619-73-8		(4-Nitrophenyl)methanol
243	C006-417-74A	619-84-1		4-(Dimethylamino)benzoic acid
244	C007-220-69A	621-02-3		Di-p-tolyl carbonate
245	C007-351-64A	621-31-8		3-(Ethylamino)phenol
246	C007-312-64A	621-56-7		"3-(diethylamino)propane-1,2-diol"
247	C006-418-32A	621-76-1		Tripropoxymethane
248	C007-379-77A	621-91-0		"1,4-dibenzyloxybenzene"
249	C007-393-04A	622-06-0		Dibenzyl maleate
250	C007-415-08A	622-29-7		Benzylidene(methyl)amine
251	C006-448-64A	622-40-2		2-morpholinoethanol
252	C006-418-87A	623-27-8		Terephthalaldehyde
253	C006-146-35A	623-53-0		"Carbonic acid, ethyl methyl ester"
254	C006-419-45A	624-31-7		4-iodotoluene
255	C007-290-60A	624-65-7		3-chloropropyne
256	C006-419-56A	624-78-2		Ethyl(methyl)amine
257	C006-146-46A	624-86-2		"Hydroxylamine, O-ethyl-"
258	C007-315-37A	625-35-4		Crotonoyl chloride
259	C006-419-90A	625-38-7		But-3-enoic acid
260	C005-296-40A	625-45-6		2-Methoxyacetic acid
261	C007-243-49A	625-50-3		N-ethylacetamide
262	C007-234-26A	627-03-2		Ethoxyacetic acid
263	C006-421-31A	627-11-2		2-Chloroethyl carbonochloridate
264	C006-421-53A	627-27-0		But-3-en-1-ol
265	C006-422-55A	629-40-3		Octanedinitrile
266	C005-825-74A	629-82-3		"1,1'-oxydioctane"
267	C005-825-85A	629-96-9		Icosan-1-ol
268	C007-206-98A	632-13-3		(S)-3-Amino-2-hydroxypropanoic acid
269	C007-464-23A	635-67-6		O-phenylene di(acetate)
270	C005-414-17A	636-09-9		Diethyl terephthalate
271	C006-423-35A	637-88-7		"Cyclohexane-1,4-dione"
272	C005-001-56A	638-07-3		Ethyl 4-chloro-3-oxobutanoate
273	C007-387-21A	640-60-8		Phenyl 4-methylbenzenesulfonate
274	C007-334-97A	643-38-9		"2,3-Quinolinedicarboxylic acid"
275	C008-242-19A	646-20-8		Heptanedinitrile
276	C006-301-64A	646-24-2		"Nonane-1,9-diyldiamine"
277	C007-420-23A	646-25-3		Decamethylenediamine
278	C005-826-32A	661-19-8		Docosan-1-ol
279	C007-155-97A	673-48-3		4-Methoxybenzenediazonium hexafluoro-lambda(5)-phosphanuide
280	C007-384-58A	675-14-9		"2,4,6-trifluoro-1,3,5-triazine"
281	C005-256-04A	676-58-4		Chloro(methyl)magnesium
282	C007-447-67A	677-22-5		Tert-butylmagnesium chloride
283	C007-308-07A	685-91-6		"N,N-diethylacetamide"
284	C007-280-23A	689-98-5		"Ethanamine, 2-chloro-"
285	C007-440-07A	690-39-1		"1,1,1,3,3,3-Hexafluoropropane"
286	C005-306-14A	693-38-9		Vinyl palmitate
287	C005-306-25A	693-57-2		12-Aminododecanoic acid
288	C005-827-01A	694-83-7		"1,2-Cyclohexanediamine"
289	C007-337-15A	696-62-8		4-iodoanisole
290	C007-464-56A	700-58-3		"Tricyclo[3.3.1.13,7]decan-2-one"
291	C006-427-66A	702-23-8		2-(4-Methoxyphenyl)ethanol
292	C007-472-77A	702-98-7		2-Methyladamantan-2-ol
293	C007-419-39A	707-61-9		"4-Methyl-1-oxo-1-phenyl-2,3-dihydro-1H-1lambda(5)-phosphole"
294	C007-388-89A	719-79-9		"1,1-Diphenylbutane"
295	C006-428-24A	723-38-6		"2-Methyl-5-(1,1,3,3-tetramethylbutyl)hydroquinone"
296	C007-227-30A	734-32-7		"Estr-4-ene-3,17-dione"
297	C006-428-68A	754-05-2		Trimethyl(vinyl)silane
298	C004-827-17A	754-12-1		"2,3,3,3-Tetrafluoroprop-1-ene"
299	C005-827-34A	756-13-8		"3-Pentanone, 1,1,1,2,2,4,5,5,5-nonafluoro-4-(trifluoromethyl)-"
300	C007-344-12A	758-96-3		"N,N-dimethylpropionamide"
301	C007-207-23A	765-63-9		"2,2,3,3-tetrafluorooxetane"
302	C007-748-94A	766-05-2		Cyclohexanecarbonitrile
303	C007-410-53A	767-11-3		"3,4-Epoxycyclohexylmethanol"
304	C007-460-92A	768-56-9		But-3-en-1-ylbenzene
305	C006-430-54A	769-78-8		Vinyl benzoate
306	C006-430-65A	770-05-8		4-(2-Amino-1-hydroxyethyl)phenol monohydrochloride
307	C007-448-81A	770-12-7		Phenyl phosphorodichloridate
308	C007-280-90A	771-10-8		"Ethyl 2,2,3,3-tetramethylcyclopropanecarboxylate"
309	C007-448-03A	771-50-6		Indole-3-carboxylic acid
310	C007-519-11A	772-36-1		"1-p-Menthene-6,8-diol"
311	C007-506-78A	789-62-8		"2-(Cyclohexylmethyl)-1,1'-bi(cyclohexane)"
312	C007-469-56A	808-57-1		"2,3,6,7,10,11-Hexamethoxytriphenylene"
313	C004-773-21A	811-97-2		"1,1,1,2-tetrafluoroethane"
314	C006-432-92A	818-38-2		Diethyl glutarate
315	C005-058-22A	822-36-6		5-Methyl-1H-imidazole
316	C006-434-18A	830-09-1		3-(4-Methoxyphenyl)acrylic acid
317	C005-828-03A	833-66-9		"2-Naphthalenesulfonic acid, 6-hydroxy-, monopotassium salt"
318	C007-506-89A	842-86-4		"4-(Cyclohexylmethyl)-1,1'-bi(cyclohexane)"
319	C007-257-17A	853-23-6		3beta-hydroxyandrost-5-en-17-one acetate
320	C006-435-10A	865-47-4		Potassium 2-methylpropan-2-olate
321	C007-468-65A	871-70-5		Octadecanedioic acid
322	C005-828-47A	872-36-6		"1,3-Dioxol-2-one"
323	C006-436-90A	874-42-0		"2,4-dichlorobenzaldehyde"
324	C006-078-01A	874-60-2		P-toluoyl chloride
325	C006-437-03A	876-08-4		4-(Chloromethyl)benzoyl chloride
326	C006-437-69A	883-40-9		Diazo(diphenyl)methane
327	C007-206-76A	884-35-5		"Methyl 4-hydroxy-3,5-dimethoxybenzoate"
328	C007-218-40A	885-19-8		"1,4-dihydroanthraquinone"
329	C007-226-83A	897-06-3		"Androsta-1,4-diene-3,17-dione"
330	C007-277-35A	921-01-7		D-cysteine
331	C007-260-61A	923-27-3		D-Lysine
332	C007-359-59A	924-50-5		Methyl 3-methyl-2-butenoate
333	C006-678-94A	924-99-2		"Ethyl 3-(N,N-dimethylamino)acrylate"
334	C007-304-87A	927-62-8		"N,N-dimethylbutylamine"
335	C006-439-07A	928-04-1		Potassium hydrogen but-2-ynedioate
336	C007-472-44A	928-55-2		1-ethoxypropene
337	C005-199-08A	929-06-6		"Ethanol, 2-(2-aminoethoxy)-"
338	C006-078-45A	930-28-9		Chlorocyclopentane
339	C007-456-91A	930-30-3		Cyclopenten-2-one
340	C007-504-74A	931-26-0		"2,2-Dimethylcyclopropanecarboxylic acid"
341	C006-439-52A	931-50-0		Cyclohexylmagnesium bromide
342	C006-439-63A	931-51-1		Chloro(cyclohexyl)magnesium
343	C005-235-62A	937-14-4		3-chloroperbenzoic acid
344	C007-463-54A	938-18-1		"2,4,6-trimethylbenzoyl chloride"
345	C005-467-29A	941-69-5		N-Phenylmaleimide
346	C007-507-47A	943-89-5		(E)-3-(4-Methoxyphenyl)acrylic acid
347	C005-421-25A	947-19-3		1-Hydroxycyclohexyl phenyl ketone
348	C007-362-36A	948-03-8		Methyl 1-hydroxy-2-naphthoate
349	C007-450-77A	950-99-2		"2,2,5,7,8-Pentamethylchroman-6-ol"
350	C006-440-79A	951-77-9		2'-deoxycytidine
351	C006-441-04A	958-09-8		2'-Deoxyadenosine
352	C006-441-15A	961-07-9		2'-Deoxyguanosine
353	C007-288-63A	981-40-8		4-tert-Butylphenyl diphenyl phosphate
354	C007-466-05A	993-07-7		Trimethylsilane
355	C007-228-76A	996-31-6		Potassium lactate
356	C007-336-13A	997-70-6		"Thiocyanic acid, 2-(dimethylamino)-1,3-propanediyl ester"
357	C007-330-11A	1001-58-7		3-mercaptopropiononitrile
358	C007-257-95A	1002-28-4		Hex-3-yn-1-ol
359	C006-443-64A	1009-93-4		"2,2,4,4,6,6-Hexamethyl-1,3,5,2,4,6-triazatrisilinane"
360	C005-414-28A	1026-92-2		Diallyl tetephthlate
361	C006-444-33A	1066-54-2		Trimethylsilylacetylene
362	C007-345-69A	1068-55-9		Chloro(isopropyl)magnesium
363	C005-255-35A	1070-00-4		"Aluminium, trioctyl-"
364	C007-228-54A	1071-36-9		Sodium cyanoacetate
365	C006-445-35A	1071-46-1		Ethyl hydrogen malonate
366	C004-674-96A	1071-83-6		"Glycine, N-(phosphonomethyl)- (Glyphosate)"
367	C007-317-64A	1072-11-3		"Ethanamine, 2,2'-dithiobis[N,N-dimethyl-"
368	C005-024-25A	1072-52-2		2-(Aziridin-1-yl)ethanol
369	C006-445-68A	1072-63-5		1-Vinyl-1H-imidazole
370	C007-412-68A	1072-68-0		"1,4-Dimethylpyrazole"
371	C006-445-91A	1073-67-2		P-chlorostyrene
372	C006-446-04A	1074-82-4		"Potassium 1,3-dioxoisoindolin-2-ide"
373	C007-223-76A	1076-38-6		4-hydroxycoumarin
374	C006-446-71A	1079-21-6		"Biphenyl-2,5-diol"
375	C006-446-82A	1079-66-9		Chlorodiphenylphosphine
376	C007-456-35A	1080-06-4		Methyl L-tyrosinate
377	C007-355-84A	1080-32-6		Diethyl benzylphosphonate
378	C005-450-66A	1096-84-0		"1,1'-Methylenedi-2-naphthol"
379	C006-480-37A	1107-00-2		"4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphthalic anhydride"
380	C007-412-35A	1109-71-3		"Perimidino[1'',2'':1',2']pyrrolo[3',4':5,6]isoindolo[2,1-a]perimidine"
381	C006-450-16A	1111-78-0		Ammonium carbamate
382	C007-489-96A	1117-37-9		"Ethyl 3-(N,N-dimethylamino)acrylate"
383	C006-450-72A	1118-84-9		Allyl acetoacetate
384	C006-451-41A	1121-60-4		Pyridine-2-carbaldehyde
385	C006-451-63A	1121-84-2		4-Methyloxan-2-one
386	C006-451-74A	1122-58-3		N-(4-Pyridyl)dimethylamine
387	C007-463-98A	1125-21-9		"2,6,6-trimethylcyclohex-2-ene-1,4-dione"
388	C007-205-85A	1138-80-3		N-[(Benzyloxy)carbonyl]glycine
389	C005-432-53A	1143-72-2		"2,3,4-Trihydroxybenzophenone"
390	C007-337-26A	1145-93-3		Diethyl (4-methoxybenzyl)phosphonate
391	C006-302-11A	1149-26-4		N-[(Benzyloxy)carbonyl]-L-valine
392	C005-199-53A	1187-93-5		Trifluoro(trifluoromethoxy)ethylene
393	C006-453-01A	1189-71-5		Chlorosulphonyl isocyanate
394	C006-679-29A	1191-47-5		Dibutylmagnesium
395	C006-453-67A	1201-31-6		"2,3,4,5-Tetrafluorobenzoic acid"
396	C007-218-06A	1208-86-2		4-Methoxy-N-phenylaniline
397	C007-331-46A	1219-84-7		"1,3-Bis(3-chlorophenyl)thiourea"
398	C007-207-45A	1302-88-1		Cordierite (Mg2[Al4O3(SiO3)5])
399	C004-702-28A	1314-34-7		Divanadium trioxide
400	C007-386-63A	1323-19-9		Sodium tris(1-methylethyl)naphthalenesulphonate
401	C006-220-08A	1333-38-6		5-Methylfuran-2(?H)-one
402	C007-310-37A	1421-49-4		"3,5-bis-tert-butyl-4-hydroxybenzoic acid"
403	C006-456-74A	1445-79-0		Trimethylgallium
404	C006-456-85A	1448-98-2		N-carbamoyl-2-cyanoacetamide
405	C006-481-28A	1450-14-2		Hexamethyldisilane
