CASNO	Substances
51-21-8	"2,4(1H,3H)-Pyrimidinedione, 5-fluoro-"
51-28-5	"Phenol, 2,4-dinitro-"
51-34-3	Hyoskiini
51-35-4	
51-42-3	"1,2-Benzenediol, 4-[1-hydroxy-2-(methylamino)ethyl]-, (R)-, [R-(R*,R*)]-2,3-dihydroxybutanedioate (1:1) (salt)"
51-43-4	"L-4-(1-HYDROXY-2-(METHYLAMINO)ETHYL)-1,2-BENZENDIOL"
51-52-5	"4(1H)-Pyrimidinone, 2,3-dihydro-6-propyl-2-thioxo-"
51-55-8	"Benzeneacetic acid, .alpha.-(hydroxymethyl)- 8-methyl-8-azabicyclo[3.2.1]oct-3-yl ester endo-(.+-.)-"
51-58-1	"Urea, N-(aminoiminomethyl)-N'-(4-nitrophenyl)-, monohydrochloride"
51-60-5	"Benzenaminium, 3-[[(dimethylamino)carbonyl]oxy]-N,N,N-trimethyl-, methyl sulfate"
51-63-8	
51-75-2	"Ethanamine, 2-chloro-N-(2-chloroethyl)-N-methyl-"
51-77-4	"4,8,12-TETRADECATRIENOIC ACID, 5,9,13-TRIMETHYL-, 3,7-DIMETHYL-2,6-OCTADIENYL ESTER, (E,E,E)-"
51-79-6	ETHYLCARBAMAT
51-84-3	"ETHANAMINIUM, 2-(ACETYLOXY)-N,N,N-TRIMETHYL-"
51-92-3	"METHANAMINIUM, N,N,N-TRIMETHYL-"
51-98-9	"19-Norpregn-4-en-20-yn-3-one, 17-(acetyloxy)-, (17.alpha.)-"
52-01-7	"PREGN-4-ENE-21-CARBOXYLIC ACID, 7-(ACETYLTHIO)-17-HYDROXY-3-OXO-, .GAMMA.-LACTONE, (7.ALPHA.,17.ALPHA.)-"
52-21-1	"Pregna-1,4-diene-3,20-dione, 21-(acetyloxy)-11,17-dihydroxy-, (11.beta.)-"
52-24-4	"Aziridine, 1,1',1''-phosphinothioylidynetris-"
52-26-6	"Morphinan-3,6-diol, 7,8-didehydro-4,5-epoxy-17-methyl- (5.alpha.,6.alpha.)-, hydrochloride"
52-28-8	CODEINPHOSPHAT
52-31-3	"2,4,6(1H,3H,5H)-Pyrimidinetrione, 5-(1-cyclohexen-1-yl)-5-ethyl-"
52-51-7	"2-BROM-2-NITRO-1,3-PROPANDIOL"
52-67-5	"D-Valine, 3-mercapto-"
52-68-6	TRICHLORFON
52-86-8	"1-BUTANONE, 4-(4-(4-CHLOROPHENYL)-4-HYDROXY-1-PIPERIDINYL)-1-(4-FLUOROPHENYL)-"
52-89-1	"L-CYSTEINE, HYDROCHLORIDE"
52-90-4	L-CYSTEINE
53-03-2	"PREGNA-1,4-DIENE-3,11,20-TRIONE, 17,21-DIHYDROXY-"
53-16-7	ESTRON
53-21-4	"8-Azabicyclo[3.2.1]octane-2-carboxylic acid, 3-(benzoyloxy)-8-methyl-, methyl ester, hydrochloride, [1R-(exo,exo)]-"
53-36-1	"PREGNA-1,4-DIENE-3,20-DIONE, 21-(ACETYLOXY)-11,17-DIHYDROXY-6-METHYL-, (6.ALPHA.,11.BETA.)-"
53-41-8	ANDROSTERON
53-60-1	"10H-Phenothiazine-10-propanamine, N,N-dimethyl-, monohydrochloride"
53-70-3	"DIBENZO[a,h]ANTHRACEN"
53-84-9	"Adenosine 5'-(trihydrogen diphosphate), 5'.fwdarw.5'-ester with 3-(aminocarbonyl)-1-.beta.-D-ribofuranosylpyridinium hydroxide, inner salt"
53-86-1	INDOMETHACIN
53-96-3	N-(2-FLUORENYL)ACETAMID
54-11-5	NICOTIN
54-21-7	NATRIUMSALICYLAT
54-28-4	"2H-1-BENZOPYRAN-6-OL, 3,4-DIHYDRO-2,7,8-TRIMETHYL-2-(4,8,12-TRIMETHYLTRIDECYL)-, (2R-(2R*(4R*,8R*)))-"
54-31-9	FUROSEMID
54-36-4	"1-Propanone, 2-methyl-1,2-di-3-pyridinyl-"
54-42-2	"Uridine, 2'-deoxy-5-iodo-"
54-64-8	THIOMERSAL
54-71-7	"PILOCARPIN, HYDROCHLORID"
54-85-3	4-PYRIDINCARBOXYLSYREHYDRAZID
54-86-4	"3-PYRIDINECARBOXYLIC ACID, SODIUM SALT"
55-10-7	"Benzeneacetic acid, .alpha.,4-dihydroxy-3-methoxy-"
55-18-5	N-NITROSODIETHYLAMIN
55-21-0	Benzamide
55-38-9	Fentioni [ISO]
55-48-1	"Benzeneacetic acid, .alpha.-(hydroxymethyl)- 8-methyl-8-azabicyclo[3.2.1]oct-3-yl ester endo-(.+-.)-, sulfate (2:1) (salt)"
55-55-0	bis(4-hydroxy-N-methylanilinium)sulfat
55-56-1	"2,4,11,13-TETRAAZATETRADECANEDIIMIDAMIDE, N,N''-BIS(4-CHLOROPHENYL)-3,12-DIIMINO-"
55-63-0	"1,2,3-PROPANTRIYLTRINITRAT"
55-68-5	"MERCURY, (NITRATO-O)PHENYL-"
55-98-1	"1,4-Butanediol, dimethanesulfonate"
56-04-2	6-METHYL-2-MERCAPTOURACIL
56-06-4	"4(1H)-PYRIMIDINONE, 2,6-DIAMINO-"
56-12-2	"Butanoic acid, 4-amino-"
56-14-4	
56-17-7	"Ethanamine, 2,2'-dithiobis-, dihydrochloride"
56-18-8	"3,3'-IMINOBIS(PROPYLAMIN)"
56-23-5	TETRACHLORMETHAN
56-25-7	"4,7-Epoxyisobenzofuran-1,3-dione, hexahydro-3a,7a-dimethyl-, (3a.alpha.,4.beta.,7.beta.,7a.alpha.)-"
56-35-9	BIS(TRIBUTYLTIN)OXID
56-36-0	"Stannane, (acetyloxy)tributyl-"
56-37-1	BENZYLTRIETHYLAMMONIUMCHLORID
56-38-2	"O,O-Dietyyli-O-4-nitrofenyylifosforitioaatti"
56-40-6	GLYCIN
56-41-7	L-ALANINE
56-45-1	L-SERINE
56-49-5	"1,2-DIHYDRO-3-METHYLBENZ(J)ACEANTHRYLENE"
56-53-1	DIETHYLSTILBØSTROL
56-54-2	"Cinchonan-9-ol, 6'-methoxy-, (9S)-"
56-55-3	BENZO(a)ANTHRACEN
56-57-5	4-NITROQUINOLIN-N-OXID
56-65-5	Adenosine 5'-(tetrahydrogen triphosphate)
56-72-4	Kumafossi
56-75-7	CHLORAMPHENICOL
56-81-5	GLYCEROL
56-84-8	L-ASPARAGINSYRE
56-85-9	L-GLUTAMIN
56-86-0	L-GLUTAMINSYRE
56-87-1	L-LYSIN
56-89-3	L-CYSTINE
56-91-7	"Benzoic acid, 4-(aminomethyl)-"
56-93-9	BENZYLTRIMETHYLAMMONIUMCHLORID
56-95-1	"2,4,11,13-TETRAAZATETRADECANEDIIMIDAMIDE, N,N''-BIS(4-CHLOROPHENYL)-3,12-DIIMINO-, DIACETATE"
57-00-1	"Glycine, N-(aminoiminomethyl)-N-methyl-"
57-06-7	ALLYLISOTHIOCYANAT
57-09-0	HEXADECYLTRIMETHYLAMMONIUMBROMID
57-10-3	PALMITINSYRE
57-11-4	STEARINSYRE
57-12-5	Cyanide
57-13-6	URINSTOF
57-14-7	"1,1-DIMETHYLHYDRAZIN"
57-22-7	"Vincaleukoblastine, 22-oxo-"
57-24-9	strykniini
57-27-2	"Morphinan-3,6-diol, 7,8-didehydro-4,5-epoxy-17-methyl-(5alpha, 6alpha)-"
57-30-7	"2,4,6(1H,3H,5H)-Pyrimidinetrione, 5-ethyl-5-phenyl-, monosodium salt"
57-33-0	"PENTOBARBITAL, NATRIUM SALT"
57-41-0	"5,5-DIPHENYLHYDANTOIN"
57-44-3	"2,4,6(1H,3H,5H)-Pyrimidinetrione, 5,5-diethyl-"
57-47-6	Fysostigmiini
57-48-7	D-FRUCTOSE
57-49-8	"CARBANILIC ACID, N-(2-(4-HYDROXY-4-PHENYLPIPERIDINO)-1-METHYL)ETHYL-, ETHYL ESTER,SULFAMATE"
57-50-1	SACCHAROSE
57-53-4	"1,3-PROPANEDIOL, 2-METHYL-2-PROPYL-, DICARBAMATE"
57-55-6	PROPYLENGLYCOL
57-56-7	HYDRAZINECARBOXAMIDE
57-57-8	2-OXETANON
57-63-6	"19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol, (17.alpha.)-"
57-66-9	"BENZOIC ACID, 4-((DIPROPYLAMINO)SULFONYL)-"
57-68-1	"Benzenesulfonamide, 4-amino-N-(4,6-dimethyl-2-pyrimidinyl)-"
57-74-9	Klordaani
57-83-0	PROGESTERON
57-85-2	"Androst-4-en-3-one, 17-(1-oxopropoxy)-, (17.beta.)-"
57-88-5	CHOLESTEROL
57-92-1	"D-Streptamine, O-2-deoxy-2-(methylamino)-.alpha.-L-glucopyranosyl-(1.fwdarw.2)-O-5-deoxy-3-C-formyl-.alpha.-L-lyxofuranosyl-(1.fwdarw.4)-N,N'-bis(aminoiminomethyl)-"
57-94-3	"Tubocuraranium, 7',12'-dihydroxy-6,6'-dimethoxy-2,2',2'-trimethyl-, chloride, hydrochloride"
57-95-4	"13H-4,6:21,24-dietheno-8,12-metheno-1H-pyrido(3',2':14,15)(1,11)dioxacycloeicosino(2,3,4-ij)isoquinolinium, 2,3,13a,14,15,16,25,25a-octahydro-9,19-dihydroxy-18,29-dimethoxy-1,14,14-trimethyl-, (13aR,25aS)-"
57-96-5	
57-97-6	"7,12-DIMETHYLBENZ(A)ANTHRACEN"
58-08-2	COFFEIN
58-13-9	"Carbamothioic acid, diphenyl-, S-[2-(diethylamino)ethyl] ester, monohydrochloride"
58-15-1	4-DIMETHYLAMINOANTIPYRIN
58-18-4	"Androst-4-en-3-one, 17-hydroxy-17-methyl-, (17.beta.)-"
58-22-0	TESTOSTERON
58-25-3	"3H-1,4-BENZODIAZEPIN-2-AMINE, 7-CHLORO-N-METHYL-5-PHENYL-, 4-OXIDE"
58-27-5	K3-VITAMIN
58-28-6	"5H-Dibenz[b,f]azepine-5-propanamine, 10,11-dihydro-N-methyl-, monohydrochloride"
58-32-2	"ETHANOL, 2,2',2'',2'''-((4,8-DI-1-PIPERIDINYLPYRIMIDO(5,4-D)PYRIMIDINE-2,6-DIYL)DINITRILO)TETRAKIS-"
58-33-3	"10H-PHENOTHIAZINE-10-ETHANAMINE, N,N,.ALPHA.-TRIMETHYL-, MONOHYDROCHLORIDE"
58-36-6	"10,10'-OXYDIPHENOXARSIN"
58-39-9	"1-PIPERAZINEETHANOL, 4-(3-(2-CHLORO-10H-PHENOTHIAZIN-10-YL)PROPYL)-"
58-55-9	THEOPHYLLIN
58-56-0	B6-VITAMIN
58-60-6	"ADENOSINE, 3'-AMINO-3'-DEOXY-N,N-DIMETHYL-"
58-63-9	Inosine
58-68-4	"Adenosine 5'-(trihydrogen diphosphate), 5'.fwdarw.5'-ester with 1,4-dihydro-1-.beta.-D-ribofuranosyl-3-pyridinecarboxamide"
58-71-9	"5-Thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid, 3-[(acetyloxy)methyl]-8-oxo-7-[(2-thienylacetyl)amino]-, monosodium salt, (6R-trans)-"
58-74-2	"Isoquinoline, 1-[(3,4-dimethoxyphenyl)methyl]-6,7-dimethoxy-"
58-82-2	
58-85-5	BIOTIN
58-86-6	D-XYLOSE
58-89-9	"Cyclohexane, 1,2,3,4,5,6-hexachloro-, (1.alpha.,2.alpha.,3.beta.,4.alpha.,5.alpha.,6.beta.)-"
58-90-2	"2,3,4,6-tetrakloorifenoli"
58-93-5	"2H-1,2,4-BENZOTHIADIAZINE-7-SULFONAMIDE, 6-CHLORO-3,4-DIHYDRO-, 1,1-DIOXIDE"
58-95-7	"2H-1-BENZOPYRAN-6-OL, 3,4-DIHYDRO-2,5,7,8-TETRAMETHYL-2-(4,8,12-TRIMETHYLTRIDECYL)-, ACETATE, (2R-(2R*(4R*,8R*)))-"
59-01-8	"D-Streptamine, O-3-amino-3-deoxy-.alpha.-D-glucopyranosyl-(1.fwdarw.6)-O-[6-amino-6-deoxy-.alpha.-D-glucopyranosyl-(1.fwdarw.4)]-2-deoxy-"
59-02-9	E-VITAMIN
59-05-2	AMETHOPTERIN
59-06-3	"Benzoic acid, 4-(acetylamino)-2-ethoxy-, methyl ester"
59-23-4	D-GALACTOSE
59-30-3	FOLINSYRE
59-33-6	"N-((4-METHOXYPHENYL)METHYL)-N',N'-DIMETHYL-N-(2-PYRIDINYL)-1,2-ETHANDIAMIN-Z-2-BUTENDIOAT"
59-40-5	4-AMINO-N-(2-QUINOXALINYL)BENZENSULFONAMID
59-43-8	B1-VITAMIN
59-50-7	p-CHLOR-m-CRESOL
59-51-8	DL-METHIONINE
59-60-9	"1,2-Benzenediol, 4-[1-hydroxy-2-[(1-methylethyl)amino]ethyl]-, (.+-.)-, [R-(R*,R*)]-2,3-dihydroxybutanedioate (1:1) (salt)"
59-66-5	"ACETAMIDE, N-(5-(AMINOSULFONYL)-1,3,4-THIADIAZOL-2-YL)-"
59-67-6	NIACIN
59-87-0	"Hydrazinecarboxamide, 2-[(5-nitro-2-furanyl)methylene]-"
59-88-1	Fenyylihydratsiniumkloridi
59-92-7	3-HYDROXY-L-TYROSIN
60-00-4	EDTA
60-09-3	4-PHENYLAZOANILIN
60-11-7	p-DIMETHYLAMINOAZOBENZEN
60-12-8	2-PHENYLETHANOL
60-13-9	"BENZENEETHANAMINE, .ALPHA.-METHYL-, (.+-.)-, SULFATE (2:1)"
60-18-4	L-TYROSINE
60-24-2	2-MERCAPTOETHANOL
60-27-5	"4H-IMIDAZOL-4-ONE, 2-AMINO-1,5-DIHYDRO-1-METHYL-"
60-29-7	DIETHYLETHER
60-32-2	6-AMINOHEXANSYRE
60-33-3	LINOLSYRE
60-34-4	
60-35-5	ACETAMID
60-51-5	DIMETHOAT
60-57-1	DIELDRIN
60-80-0	"3H-PYRAZOL-3-ONE, 1,2-DIHYDRO-1,5-DIMETHYL-2-PHENYL-"
60-81-1	"1-PROPANONE, 1-(2-(.BETA.-D-GLUCOPYRANOSYLOXY)-4,6-DIHYDROXYPHENYL)-3-(4-HYDROXYPHENYL)-"
60-87-7	"10H-Phenothiazine-10-ethanamine, N,N,.alpha.-trimethyl-"
60-93-5	"Cinchonan-9-ol, 6'-methoxy-, dihydrochloride, (8.alpha.,9R)-"
60-99-1	"10H-Phenothiazine-10-propanamine, 2-methoxy-N,N,.beta.-trimethyl-, (R)-"
61-12-1	"4-Quinolinecarboxamide, 2-butoxy-N-[2-(diethylamino)ethyl]-, monohydrochloride"
61-25-6	"ISOQUINOLINE, 1-((3,4-DIMETHOXYPHENYL)METHYL)-6,7-DIMETHOXY-, HYDROCHLORIDE"
61-73-4	C.I. BASIC BLUE 9
61-76-7	"BENZENEMETHANOL, 3-HYDROXY-.ALPHA.-((METHYLAMINO)METHYL)-, HYDROCHLORIDE, (R)-"
61-78-9	"Glycine, N-(4-aminobenzoyl)-"
61-82-5	"1H-1,2,4-TRIAZOL-3-AMIN"
61-90-5	L-LEUCIN
62-23-7	4-NITROBENZOSYRE
62-31-7	"1,2-BENZENEDIOL, 4-(2-AMINOETHYL)-, HYDROCHLORIDE"
62-33-9	"CALCIATE(2-), ((N,N'-1,2-ETHANEDIYLBIS(N-(CARBOXYMETHYL)GLYCINATO))(4-)-N,N',O,O',ON,ON')-, DISODIUM, (OC-6-21)-"
62-38-4	PHENYLKVIKSØLVACETAT
62-44-2	PHENACETIN
62-50-0	ETHYLMETHANSULFONAT
62-52-2	"Magnesium, [DL-aspartato(2-)]-"
62-53-3	ANILIN
62-54-4	CALCIUMACETAT
62-55-5	THIOACETAMID
62-56-6	THIOURINSTOF
62-57-7	"Alanine, 2-methyl-"
62-73-7	DICHLORVOS
62-74-8	natriumfluoriasetaatti
62-75-9	N-NITROSODIMETHYLAMIN
62-76-0	DINATRIUMOXALAT
63-25-2	1-naftyylimetyylikarbamaatti
63-42-3	"D-GLUCOSE, 4-O-.BETA.-D-GALACTOPYRANOSYL-"
63-45-6	"1,4-Pentadiamine, N(4)-(6-methoxy-8-quinolinyl)-, phosphate (1:2)"
63-68-3	L-METHIONIN
63-74-1	4-AMINOBENZENSULFONAMID
63-91-2	L-PHENYLALANINE
64-02-8	"EDTA, TETRANATRIUMSALT"
64-10-8	"Urea, phenyl-"
64-13-1	"Benzeneethanamine, 4-methoxy-.alpha.-methyl-"
64-17-5	ETHANOL
64-18-6	MYRESYRE
64-19-7	EDDIKESYRE
64-67-5	DIETHYLSULFAT
64-69-7	Jodietikkahappo
64-72-2	"2-Naphthacenecarboxamide, 7-chloro-4-(dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-, monohydrochloride, [4S-(4.alpha.,4a.alpha.,5a.alpha.,6.beta.,12a.alpha.)]-"
64-75-5	"2-NAPHTHACENECARBOXAMIDE, 4-(DIMETHYLAMINO)-1,4,4A,5,5A,6,11,12A-OCTAHYDRO-3,6,10,12,12A-PENTAHYDROXY-6-METHYL-1,11-DIOXO-, MONOHYDROCHLORIDE, (4S-(4.ALPHA.,4A.ALPHA.,5A.ALPHA.,6.BETA.,12A.ALPHA.))-"
64-86-8	Kolkisiini
65-19-0	"Yohimban-16-carboxylic acid, 17-hydroxy-, methyl ester, monohydrochloride, (16.alpha.,17.alpha.)-"
65-23-6	"3,4-Pyridinedimethanol, 5-hydroxy-6-methyl-"
65-31-6	NICOTINHYDROGENTARTRAT
65-45-2	"Benzamide, 2-hydroxy-"
65-49-6	"Benzoic acid, 4-amino-2-hydroxy-"
65-61-2	"3,6-ACRIDINEDIAMINE, N,N,N',N'-TETRAMETHYL-, MONOHYDROCHLORIDE"
65-82-7	"L-Methionine, N-acetyl-"
65-85-0	BENZOESYRE
66-22-8	URACIL
66-25-1	HEXANAL
66-27-3	METHYLMETHANSULFONAT
66-56-8	"2,3-Dinitrofenoli"
66-71-7	"1,10-PHENANTHROLIN"
66-76-2	"2H-1-Benzopyran-2-one, 3,3'-methylenebis[4-hydroxy-"
66-77-3	1-NAPHTHALENECARBOXALDEHYDE
66-81-9	CYCLOHEXIMID
66-84-2	"D-Glucose, 2-amino-2-deoxy-, hydrochloride"
66-97-7	"7H-Furo[3,2-g][1]benzopyran-7-one"
66-99-9	2-Naphthalenecarboxaldehyde
67-03-8	"THIAZOLIUM, 3-((4-AMINO-2-METHYL-5-PYRIMIDINYL)METHYL)-5-(2-HYDROXYETHYL)-4-METHYL- CHLORIDE, MONOHYDROCHLORIDE"
67-20-9	NITROFURANTOIN
67-36-7	"Benzaldehyde, 4-phenoxy-"
67-43-6	DIETHYLENTRIAMINOPENTAEDDIKESYRE
67-45-8	"2-Oxazolidinone, 3-[[(5-nitro-2-furanyl)methylene]amino]-"
67-48-1	CHOLINCHLORID
67-51-6	"1H-PYRAZOLE, 3,5-DIMETHYL-"
67-52-7	"2,4,6(1H,3H,5H)-PYRIMIDINETRIONE"
67-56-1	METHANOL
67-63-0	PROPAN-2-OL
67-64-1	ACETONE
67-66-3	TRICHLORMETHAN
67-68-5	DIMETHYLSULFOXID
67-71-0	"METHANE, SULFONYLBIS-"
67-72-1	HEXACHLORETHAN
67-97-0	VITAMIN D3
68-04-2	TRINATRIUMCITRAT
68-11-1	MERCAPTOEDDIKESYRE
68-12-2	"N,N-DIMETHYLFORMAMID"
68-19-9	B12-VITAMIN
68-22-4	NORETHISTERON
68-26-8	RETINOL
68-35-9	4-AMINO-N-(2-PYRIMIDINYL)BENZENSULFONAMID
68-89-3	"Methanesulfonic acid, [(2,3-dihydro-1,5-dimethyl-3-oxo-2-phenyl-1H-pyrazol-4-yl)methylamino]-, sodium salt"
68-94-0	"6H-PURIN-6-ONE, 1,7-DIHYDRO-"
69-09-0	"10H-PHENOTHIAZINE-10-PROPANAMINE, 2-CHLORO-N,N-DIMETHYL-, MONOHYDROCHLORIDE"
69-22-7	"1,2,3-PROPANETRICARBOXYLIC ACID, 2-HYDROXY-, MIXT. WITH 3,7-DIHYDRO-1,3,7-TRIMETHYL-1H-PURINE-2,6-DIONE"
69-52-3	"4-Thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid, 6-[(aminophenylacetyl)amino]-3,3-dimethyl-7-oxo-, monosodium salt, [2S-[2.alpha.,5.alpha.,6.beta.(S*)]]-"
69-53-4	"4-Thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid, 6-[(aminophenylacetyl)amino]-3,3-dimethyl-7-oxo-, [2S-[2.alpha.,5.alpha.,6.beta.(S*)]]-"
69-57-8	"4-Thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid, 3,3-dimethyl-7-oxo-6-[(phenylacetyl)amino]- [2S-(2.alpha.,5.alpha.,6.beta.)]-, monosodium salt"
69-65-8	D-MANNITOL
69-72-7	SALICYLSYRE
69-79-4	"D-GLUCOSE, 4-O-.ALPHA.-D-GLUCOPYRANOSYL-"
69-89-6	"1H-Purine-2,6-dione, 3,7-dihydro-"
70-07-5	
70-10-0	"1,2-BENZISOTHIAZOLIN-3-ONE, 6-CHLORO-"
70-18-8	"GLYCINE, N-(N-L-.GAMMA.-GLUTAMYL-L-CYSTEINYL)-"
70-25-7	1-METHYL-3-NITRO-1-NITROSOGUANIDIN
70-26-8	
70-30-4	HEXACHLOROPHEN
70-47-3	L-ASPARAGINE
70-49-5	"BUTANEDIOIC ACID, MERCAPTO-"
70-54-2	DL-LYSINE
70-55-3	4-TOLUENSULFONAMID
70-70-2	"1-Propanone, 1-(4-hydroxyphenyl)-"
71-00-1	L-HISTIDINE
71-23-8	PROPAN-1-OL
71-36-3	BUTAN-1-OL
71-41-0	1-PENTANOL
71-43-2	BENZEN
71-48-7	COBALT(II)ACETAT
71-50-1	"ACETIC ACID, ION(1-)"
71-52-3	"carbonate, hydrogen"
71-55-6	"1,1,1-TRICHLORETHAN"
71-58-9	MEDROXYPROGESTERONACETAT
71-63-6	DIGITOXIN
71-68-1	
71-91-0	TETRAETHYLAMMONIUMBROMID
72-03-7	"propanoic acid, ion(1-)"
72-14-0	"Benzenesulfonamide, 4-amino-N-2-thiazolyl-"
72-17-3	NATRIUMLACTAT
72-18-4	L-VALIN
72-19-5	L-THREONINE
72-20-8	Endriini
72-43-5	METHOXYCHLOR
72-48-0	"9,10-Anthracenedione, 1,2-dihydroxy-"
72-57-1	C.I. DIRECT BLUE 14
73-22-3	L-TRYPTOPHAN
73-24-5	1H-Purin-6-amine
73-31-4	"ACETAMIDE, N-(2-(5-METHOXY-1H-INDOL-3-YL)ETHYL)-"
73-32-5	L-ISOLEUCINE
73-40-5	"6H-Purin-6-one, 2-amino-1,7-dihydro-"
73-48-3	"2H-1,2,4-BENZOTHIADIAZINE-7-SULFONAMIDE, 3,4-DIHYDRO-3-(PHENYLMETHYL)-6-(TRIFLUOROMETHYL)-, 1,1-DIOXIDE"
73-78-9	LIDOCAIN HYDROCHLORID
74-11-3	"BENZOIC ACID, 4-CHLORO-"
74-31-7	"N,N'-DIPHENYL-1,4-BENZENDIAMIN"
74-79-3	L-ARGININE
74-82-8	METHAN
74-83-9	METHYLBROMID
74-84-0	ETHAN
74-85-1	ETHEN
74-86-2	ACETYLEN
74-87-3	METHYLCHLORID
74-88-4	IODMETHAN
74-89-5	METHYLAMIN
74-90-8	HYDROGENCYANID
74-93-1	METHANTHIOL
74-94-2	"N,N-DIMETHYLAMINBORAN"
74-95-3	DIBROMMETHAN
74-96-4	BROMETHAN
74-98-6	PROPAN
74-99-7	PROPYN
75-00-3	CHLORETHAN
75-01-4	VINYLCHLORID
75-03-6	IODETHAN
75-04-7	ETHYLAMIN
75-05-8	ACETONITRIL
75-07-0	ACETALDEHYD
75-08-1	ETHANTHIOL
75-09-2	DICHLORMETHAN
75-10-5	CARBON FLUORIDE HYDRIDE (CF2H2)
75-11-6	DIIODMETHAN
75-12-7	FORMAMID
75-15-0	CARBONDISULFID
75-16-1	METHYLMAGNESIUMBROMID
75-18-3	DIMETHYLSULFID
75-19-4	Cyclopropane
75-20-7	CALCIUMCARBID
75-21-8	ETHYLENOXID
75-23-0	"ETHANAMINE, COMPD. WITH TRIFLUOROBORANE (1:1)"
75-24-1	"Aluminum, trimethyl-"
75-25-2	TRIBROMMETHAN
75-26-3	"Propane, 2-bromo-"
75-27-4	BROMDICHLORMETHAN
75-28-5	ISOBUTAN
75-29-6	"Propane, 2-chloro-"
75-31-0	ISOPROPYLAMIN
75-33-2	2-PROPANTHIOL
75-34-3	"1,1-DICHLORETHAN"
75-35-4	"1,1-DICHLORETHEN"
75-36-5	ACETYLCHLORID
75-37-6	"1,1-DIFLUORETHAN"
75-38-7	"1,1-DIFLUORETHEN"
75-43-4	DICHLORFLUORMETHAN
75-44-5	CARBONYLCHLORID
75-45-6	CHLORDIFLUORMETHAN
75-46-7	TRIFLUORMETHAN
75-47-8	"Methane, triiodo-"
75-50-3	TRIMETHYLAMIN
75-52-5	NITROMETHAN
75-55-8	PROPYLENIMIN
75-56-9	PROPYLENOXID
75-57-0	TETRAMETHYLAMMONIUMCHLORID
75-59-2	TETRAMETHYLAMMONIUMHYDROXID
75-60-5	"Arsinic acid, dimethyl-"
75-61-6	"Methane, dibromodifluoro-"
75-62-7	BROMTRICHLORMETHAN
75-63-8	"Methane, bromotrifluoro-"
75-64-9	tert-BUTYLAMIN
75-65-0	2-METHYLPROPAN-2-OL
